Marca temporal,Escull el teu idioma / Escoge tu idioma / Choose your language,Gènere,Nacionalitat,"Has finalitzat, o estas actualment cursant, estudis superiors STEM?","El teu referent 1 (Pares, mares,tutors,...)ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?","El teu referent 2 (Pares, mares,tutors,...) ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?",Consideres que els estudis d’algun del teus referents o d’amdós t’han condicionat a l’hora d’escollir els teus estudis superiors?,Género,Nacionalidad,"¿Has finalizado, o estás actualmente cursando, estudios superiores STEM?","¿Tu referente 1 (Padres, madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?","¿Tu referente 2 (padres,madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?",¿Consideras que los estudios de alguno de tus referentes o de ambos te han condicionado a la hora de escoger tus estudios superiores?,Gender,Nationality,"Have you completed, or are you currently pursuing, STEM higher education?",Has your first mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Has your second mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Do you consider that your mentors’ studies have influenced you when choosing your career? 
29/11/2020 18:37:58,Esp,Mujer,Española,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
29/11/2020 18:41:42,Esp,Mujer,Española,Sí,No,,,,No,,,,,,,,,,,,,,,,
29/11/2020 19:15:28,Eng,Female,Spanish,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,
29/11/2020 19:25:20,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
29/11/2020 21:09:40,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
30/11/2020 2:10:14,Eng,Female,Spanish,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
30/11/2020 13:57:08,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
30/11/2020 15:33:48,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 10:01:49,Cat,Dona,catalana,No,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 10:25:00,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 10:42:52,Cat,Dona,Espanyola,Sí,No,,No,,Sí,,,,,,,,,,,,,,,,
1/12/2020 10:46:24,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 10:48:10,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 10:50:16,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 10:53:49,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 10:54:00,Cat,Dona,Catalana,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 10:55:16,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 10:57:40,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 11:00:55,Cat,Dona,Espanyola,Sí,No,,No,,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:04:06,Cat,Dona,Espanyola,No,No,,Sí,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:10:50,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:21:40,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:25:47,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
1/12/2020 11:28:54,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 11:37:08,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 11:40:02,Cat,Dona,Espanyola,Sí,Sí,Sí,No,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:43:10,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:46:05,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
1/12/2020 11:55:37,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 11:55:58,Cat,Dona,Espanyola,No,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
1/12/2020 12:04:06,Cat,Dona,Espanyola,No,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 12:05:45,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 12:09:16,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 12:11:59,Esp,Mujer,Rumanía,Sí,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,
